site,start,end,B2,B3,B4,B5,B8,B11,TSS1,Secchi1,TSS2,Secchi2,TSS3,Secchi3,TSS4,NDWIratio,sensor
Mamba,2024-02-10T00:00:00Z,2024-02-14T00:00:00Z, nan, nan, nan, nan, nan, nan,5432.288608,1.12815957,1.059286282,0.94487369,1.058933169,5959.148086,5749.187912,-8.549339629,6.806332284
Mamba,2024-02-15T00:00:00Z,2024-02-19T00:00:00Z,569.1672241,847.0535117,816.9147157,849.0267559,366.451505,306.0919732,831.9841137,0.689635753,1.039812951,0.963298482,0.428441077,570.6206641,367.4148035,NA,8.034371439
Mamba,2024-02-20T00:00:00Z,2024-02-24T00:00:00Z, nan, nan, nan, nan, nan, nan,NA,NA,NA,NA,NA,NA,NA,NA,4.166487251
Mamba,2024-02-25T00:00:00Z,2024-02-29T00:00:00Z, nan, nan, nan, nan, nan, nan,6868.973684,1.043020314,1.011709068,0.988452154,1.042948301,7123.590388,7164.646347,#NAME?,4.985289429
Mamba,2024-03-01T00:00:00Z,2024-03-05T00:00:00Z, nan, nan, nan, nan, nan, nan,7893.701149,1.049524849,1.012016506,0.988529479,1.017229614,8232.571079,8026.199257,NA,1.490788921
Mamba,2024-03-06T00:00:00Z,2024-03-10T00:00:00Z, nan, nan, nan, nan, nan, nan,984.1847826,0.919858105,1.175123586,0.85965532,0.849877374,831.2262862,830.768351,-2.024703084,0.760593379
Mamba,2024-03-11T00:00:00Z,2024-03-15T00:00:00Z, nan, nan, nan, nan, nan, nan,468.1912568,0.592168302,1.264108654,0.807137383,0.369265891,256.7583994,81.74884959,-19.51683501,0.823585277
Mamba,2024-03-16T00:00:00Z,2024-03-20T00:00:00Z, nan, nan, nan, nan, nan, nan,8432.729504,1.035622,1.005696129,0.994440038,1.010643561,8705.276041,8521.206375,-0.22950965,0.167764642
Mamba,2024-03-21T00:00:00Z,2024-03-25T00:00:00Z, nan, nan, nan, nan, nan, nan,8113.681586,1.086675647,1.028010738,0.973615805,0.980735657,8694.296461,7932.438772,0.105776036,0.758194272
Mamba,2024-03-26T00:00:00Z,2024-03-30T00:00:00Z, nan, nan, nan, nan, nan, nan,9506.381271,1.09167308,1.023891974,0.977084224,0.985430845,10247.03982,9367.099715,0.072444611,0.356958818
KrugerGate,2022-11-14T00:00:00Z,2022-11-18T00:00:00Z, nan, nan, nan, nan, nan, nan,810.6363636363636,1.053920012881328,1.0916417417575042,0.9175008458640036,0.941337242,817.4978564688049,762.6447735731367,-7.950691251,11.51284836
